Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-11-17 22:48:23 UTC,160,Jewel,,,0.0007853074542303064328102601976,USD,968.2797564413559143758902792,usd,cost,NFT 32898 purchase,0x0471c1f05b16216170d64d58aa9b0d38f3ab2c0ec5503c8404c9c3e25651ac61,
2021-11-17 22:53:33 UTC,170,Jewel,,,0.0008135218949182414066623181270,USD,1028.797241218940659024383422,usd,cost,NFT 30179 purchase,0x225c9ea52e44fa35189910847aafde3cbd346e12469c76148e00fe0fb05fb475,
2021-11-18 09:14:03 UTC,46,Jewel,,,0.0007674479638828256805926919526,USD,330.9488137520521817691587785,usd,cost,NFT 24170 purchase,0x270d21ceaf75596acefcc96dda863bab16c070eae4479c448088fcdf4be72e5c,
2021-11-18 09:14:59 UTC,48,Jewel,,,0.0007674479638828256805926919526,USD,345.3378926108370592373830732,usd,cost,NFT 30532 purchase,0xe4233c3e0bb30fb03ae7a26fec1b088f4e93263208da821919246399d479c123,
2021-11-19 20:36:47 UTC,20,Gaia's Tears,,,0.004558468801983999916863643520,USD,17.28724329694341976804139449,usd,cost,NFT 38442 crystal,0x58983efd693ad33b2c1862cd64bbaba9d18f55853e4d732d96619d2c6cd5bf3c,
2021-11-19 20:36:47 UTC,32.00,Jewel,,,0.008923205587920824866979274681,USD,229.2155573958807224244083045,usd,cost,NFT 38442 summon,0x58983efd693ad33b2c1862cd64bbaba9d18f55853e4d732d96619d2c6cd5bf3c,
2021-11-20 10:41:38 UTC,20,Gaia's Tears,,,0.002436034086940120914849261524,USD,16.25073190064680428434940040,usd,cost,NFT 39249 crystal,0x5845d153cd8b5630e1722b7a54b31b7316fb5b9b923e6e97db7943019b499314,
2021-11-20 10:41:38 UTC,36.00,Jewel,,,0.004841987876453236670803992325,USD,300.9448916310049995104236586,usd,cost,NFT 39249 summon,0x5845d153cd8b5630e1722b7a54b31b7316fb5b9b923e6e97db7943019b499314,
2021-11-21 19:52:04 UTC,20,Gaia's Tears,,,0.005645137544975234094035698718,USD,10.97953033776257081299831952,usd,cost,NFT 40885 crystal,0x152a03b9263fe84b5243fcf5596b58ad91fdbfbe9c9eb1cb916c5689b3b7bc1a,
2021-11-21 19:52:04 UTC,40.0,Jewel,,,0.01111556965442371912922148169,USD,387.8565235693003643291376648,usd,cost,NFT 40885 summon,0x152a03b9263fe84b5243fcf5596b58ad91fdbfbe9c9eb1cb916c5689b3b7bc1a,
2021-11-22 13:52:39 UTC,75,Jewel,,,0.001000024309702229689351682396,USD,745.5021130885363778162400195,usd,cost,NFT 36323 purchase,0x0f15ac901b91dd7f328b726ac7fdf8a7b1ceebfa6f654d232782e23c3d436794,
2021-11-22 15:49:04 UTC,115,Jewel,,,0.001048336345735836730907575287,USD,1143.103240069089112651568030,usd,cost,NFT 38662 purchase,0x4e5599d1e5fc80b20d80a6b9e44b9cc6f86c124d38abf7c9f99919ed96938313,
2021-11-25 20:56:20 UTC,20,Gaia's Tears,,,0.003878182100167711167901019031,USD,9.237556717152883845045607814,usd,cost,NFT 44757 crystal,0x6d89d01315d7733203cbc16b54ed7a3745b9e0c7cff103c9d403733ccd767e3b,
2021-11-25 20:56:20 UTC,44.00,Jewel,,,0.007615089687304100250163974017,USD,391.4707946458340686035626277,usd,cost,NFT 44757 summon,0x6d89d01315d7733203cbc16b54ed7a3745b9e0c7cff103c9d403733ccd767e3b,
2021-11-28 14:04:32 UTC,120,Jewel,,,0.0008764637699562458789759311628,USD,881.9780565963345253521765699,usd,cost,NFT 44341 purchase,0x2f4dee6a5f71dc7ee7a45ea1e041d5e57bceef4f7f110289f79fab2d34e5fb5c,
2021-11-29 08:05:43 UTC,20,Gaia's Tears,,,0.002574908137467761271306443405,USD,11.99855805274535169857585970,usd,cost,NFT 47601 crystal,0x828d2d954d0e7f9665297c4384eb92e2688f4537c3ba6971069606a43df06c58,
2021-11-29 08:05:43 UTC,32.00,Jewel,,,0.005034823380420576528022635898,USD,246.3292116087083627462561708,usd,cost,NFT 47601 summon,0x828d2d954d0e7f9665297c4384eb92e2688f4537c3ba6971069606a43df06c58,
2021-12-01 22:04:49 UTC,20,Gaia's Tears,,,0.002431186568782781244434376688,USD,9.830486591949645358567977382,usd,cost,NFT 51335 crystal,0x68d1d35ed827352213e5a6610a4b7be0b2b5a436c970eae52c7ec7199d32c59d,
2021-12-01 22:04:49 UTC,48.00,Jewel,,,0.004755877736291553665514131310,USD,385.5417859145749730487295892,usd,cost,NFT 51335 summon,0x68d1d35ed827352213e5a6610a4b7be0b2b5a436c970eae52c7ec7199d32c59d,
2021-12-01 22:07:32 UTC,20,Gaia's Tears,,,0.002431186568782781244434376688,USD,9.830486591949645358567977382,usd,cost,NFT 51338 crystal,0x51268bdf4e57b871d8484774639d240a934c0ad4aaa9f4741b8b178bb52ebd7e,
2021-12-01 22:07:32 UTC,36.00,Jewel,,,0.004826552805156265422932282405,USD,289.1563394359312297865471919,usd,cost,NFT 51338 summon,0x51268bdf4e57b871d8484774639d240a934c0ad4aaa9f4741b8b178bb52ebd7e,
